Kocuria palustris
Kocuria polaris
Kocuria rhizophila
Kocuria rosea
Kocuria turfanensis
Kocuria varians
Komagataeibacter hansenii
Komagataeibacter xylinus
Kordia algicida
Kosakonia cowanii
Kozakia baliensis
Kribbella alba
Kribbella antibiotica
Kribbella flavida
Kribbella jejuensis
Kribbella karoonensis
Kribbella koreensis
Kribbella sandramycini
Kribbella solani
Kribbella swartbergensis
Kribbella yunnanensis
Kribbia dieselivorans
Kurthia gibsonii
Kurthia sibirica
Kurthia zopfii
Kutzneria kofuensis
Kutzneria viridogrisea
Kytococcus schroeteri
Kytococcus sedentarius
Labedella gwakjiensis
Labrenzia aggregata
Labrys methylaminiphilus
Laceyella sacchari
Lachancea dasiensis
Lachancea thermotolerans
Lachnoclostridium phytofermentans
Lachnospira pectinoschiza
Lacinutrix copepodicola
Lactobacillus acidophilus
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus collinoides
Lactobacillus delbrueckii
Lactobacillus dextrinicus
Lactobacillus mali
Lactobacillus plantarum
Lactobacillus rhamnosus
Lactococcus garvieae
Lampropedia hyalina
Laribacter hongkongensis
Larkinella insperata
Leadbetterella byssophila
Leeuwenhoekiella aequorea
Leeuwenhoekiella marinoflava
Legionella pneumophila
Leifsonia aquatica
Leifsonia bigeumensis
Leifsonia naganoensis
Leifsonia poae
Leifsonia rubra
Leifsonia shinshuensis
Leisingera methylohalidivorans
Lelliottia amnigena
Lelliottia nimipressuralis
Lentibacillus juripiscarius
Lentibacillus lacisalsi
Lentibacillus salarius
Lentibacillus salicampi
Lentzea albida
Lentzea californiensis
Lentzea flaviverrucosa
Leptospira kirschneri
Leptothrix cholodnii
Leptothrix discophora
Leptothrix mobilis
Leptotrichia trevisanii
Leptotrichia wadei
Leucobacter komagatae
Leuconostoc carnosum
Leuconostoc fallax
Leuconostoc gelidum
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Lewinella cohaerens
Lewinella nigricans
Lewinella persica
Loktanella agnita
Loktanella fryxellensis
Loktanella hongkongensis
Loktanella rosea
Loktanella salsilacus
Loktanella vestfoldensis
Lonepinella koalarum
Longispora albida
Luteibacter rhizovicinus
Luteibacter yeojuensis
Luteimonas composti
Luteimonas mephitis
Luteipulveratus mongoliensis
Luteococcus japonicus
Luteococcus peritonei
Luteococcus sanguinis
Lysinibacillus boronitolerans
Lysinibacillus fusiformis
Lysinibacillus odysseyi
Lysinibacillus sphaericus
Lysinimonas kribbensis
Lysobacter antibioticus
Lysobacter brunescens
Lysobacter capsici
Lysobacter concretionis
Lysobacter daejeonensis
Lysobacter defluvii
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter koreensis
Lysobacter niastensis
Lysobacter oryzae
Lysobacter panaciterrae
Lysobacter xinjiangensis
Lysobacter yangpyeongensis
Macrococcus bovicus
Macrococcus carouselicus
Macrococcus equipercicus
Magnetospirillum magnetotacticum
Malikia granosa
Malikia spinosa
Mannheimia haemolytica
Maribacter aquivivus
Maribacter arcticus
Maribacter dokdonensis
Maribacter orientalis
Maribacter sedimenticola
Maribacter ulvicola
Maribius salinus
Maricaulis maris
Marichromatium gracile
Marichromatium indicum
Marichromatium purpuratum
Marihabitans asiaticum
Marinimicrobium koreense
Marinobacter algicola
Marinobacter bryozoorum
Marinobacter daepoensis
Marinobacter excellens
Marinobacter flavimaris
Marinobacter hydrocarbonoclasticus
Marinobacterium georgiense
Marinobacterium jannaschii
Marinobacterium nitratireducens
Marinobacterium sediminicola
Marinobacterium stanieri
Marinobacter lipolyticus
Marinobacter maritimus
Marinobacter sediminum
Marinobacter vinifirmus
Marinococcus halophilus
Marinomonas aquimarina
Marinomonas communis
Marinomonas mediterranea
Marinomonas ostreistagni
Marinomonas polaris
Marinomonas pontica
Marinomonas primoryensis
Marinomonas ushuaiensis
Marinomonas vaga
Marinoscillum furvescens
Marinospirillum celere
Marinospirillum megaterium
Marinospirillum minutulum
Marinosulfonomonas methylotropha
Marinovum algicola
Marivirga sericea
Marivirga tractuosa
Marmoricola aequoreus
Marmoricola aurantiacus
Massilia albidiflava
Massilia alkalitolerans
Massilia aurea
Massilia brevitalea
Massilia dura
Massilia lutea
Massilia plicata
Massilia timonae
Meganema perideroedes
Meiothermus ruber
Mesonia algae
Mesonia mobilis
Mesorhizobium amorphae
Mesorhizobium chacoense
Mesorhizobium ciceri
Mesorhizobium huakuii
Mesorhizobium loti
Mesorhizobium mediterraneum
Mesorhizobium plurifarium
Mesorhizobium tianshanense
Methanobacterium beijingense
Methanobacterium bryantii
Methanobacterium formicicum
Methanobacterium oryzae
Methanobacterium palustre
Methanolinea tarda
Methanomicrobium mobile
Methanoregula boonei
Methanosaeta concilii
Methanosaeta harundinacea
Methanosaeta thermophila
Methanosarcina acetivorans
Methanosarcina barkeri
Methanospirillum hungatei
Methanothermus fervidus
Methylarcula terricola
Methylibium petroleiphilum
Methylobacterium aminovorans
Methylobacterium aquaticum
Methylobacterium extorquens
Methylobacterium fujisawaense
Methylobacterium hispanicum
Methylobacterium isbiliense
Methylobacterium mesophilicum
Methylobacterium nodulans
Methylobacterium organophilum
Methylobacterium populi
Methylobacterium radiotolerans
Methylobacterium rhodesianum
Methylobacterium rhodinum
Methylobacterium suomiense
Methylobacterium thiocyanatum
Methylobacterium variabile
Methylobacterium zatmanii
Methylobacter psychrophilus
Methylobacter tundripaludum
Methylocaldum gracile
Methylocaldum szegediense
Methylocaldum tepidum
Methylocapsa acidiphila
Methylocella palustris
Methylococcus capsulatus
Methylococcus thermophilus
Methylocystis echinoides
Methylocystis parvus
Methylohalobius crimeensis
Methylomicrobium album
Methylomicrobium buryatense
Methylomicrobium pelagicum
Methylomonas methanica
Methylomonas scandinavica
Methylophaga marina
Methylophilus methylotrophus
Methylopila capsulata
Methylorhabdus multivorans
Methylosinus sporium
Methylosinus trichosporium
Methylosphaera hansonii
Methylothermus thermalis
Metschnikowia bicuspidata
Metschnikowia gruessii
Metschnikowia koreensis
Metschnikowia lunata
Microbacterium barkeri
Microbacterium ginsengisoli
Microbacterium imperiale
Microbacterium keratanolyticum
Microbacterium lacticum
Microbacterium liquefaciens
Microbacterium schleiferi
Microbispora rosea
Microbulbifer celer
Microbulbifer elongatus
Microbulbifer epialgicus
Microbulbifer hydrolyticus
Microbulbifer maritimus
Microbulbifer okinawensis
Microbulbifer salipaludis
Microbulbifer variabilis
Microcella alkaliphila
Microcella putealis
Micrococcus antarcticus
Micrococcus luteus
Microlunatus panaciterrae
Microlunatus phosphovorus
Micromonospora carbonacea
Micromonospora chalcea
Micromonospora chokoriensis
Micromonospora matsumotoense
Micromonospora mirobrigensis
Micromonospora olivasterospora
Micromonospora pattaloongensis
Micromonospora rosaria
Micromonospora siamensis
Micropruina glycogenica
Microscilla marina
Microterricola viridarii
Microtetraspora glauca
Microvirgula aerodenitrificans
Mitsuaria chitosanitabida
Mitsuokella multacida
Modestobacter multiseptatus
