Flavobacterium frigoris=null
Moritella marina=null
Marinomonas ushuaiensis=null
Halomonas halmophila=null
Tsukamurella paurometabola=null
Sulfitobacter delicatus=null
Lewinella cohaerens=null
Lysobacter brunescens=null
Hydrocarboniphaga effusa=null
Sphingopyxis baekryungensis=null
Sphaerotilus natans=290696
Natronorubrum tibetense=null
Loktanella vestfoldensis=null
Arsenicicoccus bolidensis=null
Allochromatium vinosum=null
Sanguibacter keddieii=null
Silicibacter lacuscaerulensis=null
Sporosarcina pasteurii=7579277
Flammeovirga aprica=null
Marinospirillum minutulum=null
Hydrogenophaga flava=5954982
Halomonas campisalis=null
Rhodobium orientis=null
Porphyrobacter tepidarius=null
Pseudoxanthomonas koreensis=16988730
Capnocytophaga ochracea=null
Microvirgula aerodenitrificans=18344651
Rhizobium galegae=7320738
Leifsonia poae=null
Zooshikella ganghwensis=null
Phaeobacter daeponensis=null
Hymenobacter chitinivorans=null
Mucilaginibacter gracilis=null
Paenibacillus odorifer=null
Virgibacillus salexigens=18395439
Virgibacillus picturae=null
Salegentibacter flavus=null
Paenibacillus koreensis=16987115
Pseudochrobactrum asaccharolyticum=18345273
Sphingomonas wittichii=16992667
Roseospira mediosalina=null
Pandoraea apista=16987248
Xylanibacterium ulmi=null
Planomicrobium koreense=16988192
Sphingobium chlorophenolicum=7576783
Salinicoccus hispanicus=null
Algoriphagus halophilus=null
Paenibacillus borealis=null
Agarivorans albus=null
Xylanimonas cellulosilytica=null
Pedobacter suwonensis=null
Rhodopila globiformis=16989196
Kozakia baliensis=16984000
Caryophanon latum=null
Paracoccus pantotrophus=null
Maribacter aquivivus=null
Catellatospora citrea=null
Paracoccus alcaliphilus=null
Macrococcus bovicus=null
Halomonas subglaciescola=16982684
Kingella kingae=1950143
Halobacillus aidingensis=null
Collimonas fungivorans=5147219
Chitinophaga sancti=null
Glaciecola mesophila=null
Natronorubrum bangense=null
Chitinophaga filiformis=null
Renibacterium salmoninarum=16989049
Stenotrophomonas acidaminiphila=null
Rhizobium mongolense=16989124
Cellvibrio mixtus=null
Pelistega europaea=16987685
Paracoccus aminophilus=null
Bordetella petrii=16844643
Paenibacillus thiaminolyticus=null
Aeromonas hydrophila=2697755
Psychrobacter immobilis=16988779
Paenibacillus rhizosphaerae=null
Bacillus megaterium=148703
Halosarcina pallida=null
Bacteroides caccae=null
Sandaracinobacter sibiricus=null
Labedella gwakjiensis=null
Rhodococcus rhodochrous=7321109
Herbaspirillum hiltneri=5733335
Gilvibacter sediminis=null
Blastomonas natatoria=null
Leifsonia rubra=null
Carnobacterium divergens=null
Phycicola gilvus=null
Thiocapsa rosea=null
Caloranaerobacter azorensis=3650990
Xanthomonas sacchari=13323782
Exiguobacterium aurantiacum=null
Parabacteroides distasonis=null
Algoriphagus chordae=null
Ochrobactrum oryzae=18356037
Chromohalobacter marismortui=null
Salinicoccus salsiraiae=null
Alloiococcus otitis=16827504
Methylobacterium suomiense=null
S. sanguinis=null
Acidovorax facilis=4674133
Salegentibacter holothuriorum=null
Paenibacillus cineris=null
Haemophilus influenzae=1141979
Sporichthya polymorpha=null
Streptosporangium roseum=null
Rhodoblastus acidophilus=16989137
Thermotoga maritima=7783261
Tamlana crocina=null
Asticcacaulis excentricus=null
Azospirillum irakense=null
Sphingomonas asaccharolytica=null
Brackiella oedipodis=16845661
Sphingomonas roseiflava=null
Laceyella sacchari=null
Robiginitalea biformata=null
Massilia aurea=6784651
Sporocytophaga myxococcoides=15848201
Thermoactinomyces intermedius=null
Cellulophaga algicola=16751011
Colwellia psychrotropica=16980903
Lysobacter gummosus=null
Ruegeria mobilis=null
Sphingomonas pruni=null
Sphingobium amiense=null
Paenibacillus glucanolyticus=null
Chryseobacterium daeguense=null
Citricoccus muralis=null
Sulfitobacter mediterraneus=null
Pseudochrobactrum kiredjianiae=18345276
Cellulophaga pacifica=null
Micrococcus antarcticus=4044202
Halomonas aquamarina=null
Terracoccus luteus=null
Nitrococcus mobilis=null
Thiobacillus thioparus=null
Kocuria kristinae=16983977
Sphingomonas aurantiaca=null
Rhodobacter capsulatus=null
Shewanella woodyi=16992547
Ornithinicoccus hortensis=null
Halobacillus dabanensis=null
Taylorella equigenitalis=289291
Propionibacterium propionicum=null
Thiohalocapsa halophila=null
Pedobacter roseus=null
Sphingomonas adhaesiva=16992656
Dermatophilus congolensis=5262706
Thiocapsa pendens=null
Tetrasphaera australiensis=null
Sphingomonas melonis=null
Virgibacillus koreensis=null
Roseibium denhamense=null
Roseobacter gallaeciensis=null
Amphibacillus tropicus=null
Chitinophaga skermanii=null
Marinobacter excellens=null
Psychroflexus gondwanensis=null
Vagococcus fluvialis=16994520
Shewanella baltica=16992535
Shewanella benthica=null
Rubrivivax gelatinosus=null
Yeosuana aromativorans=8052484
Halorubrum saccharovorum=null
Rathayibacter toxicus=null
Chryseobacterium hominis=null
Sinorhizobium meliloti=2696072
Halobacillus yeomjeoni=null
Massilia plicata=16977944
Sphingomonas pituitosa=null
Oceanospirillum multiglobuliferum=null
Chromobacterium violaceum=3498295
Chryseobacterium shigense=null
Rhodopseudomonas palustris=7321215
Oleispira antarctica=16986850
Aestuariibacter salexigens=16825790
Methylobacterium zatmanii=16985625
Rhodovulum marinum=null
Gracilibacillus boraciitolerans=16982477
S. kasugaensis=null
Methylopila capsulata=null
Sporosarcina psychrophila=15744829
Sphingobacterium daejeonense=null
Sphingobium cloacae=null
Phaeospirillum fulvum=null
Halomonas halodurans=5643414
Virgibacillus halophilus=null
Acidomonas methanolica=16824919
Rhizobium cellulosilyticum=9068798
Arenibacter latericius=null
Bacillus silvestris=null
Hyphomonas polymorpha=null
Chromatium okenii=5113742
Halobiforma haloterrestris=18392516
Marinomonas primoryensis=null
Ensifer fredii=null
Tenacibaculum mesophilum=16992994
Pedobacter panaciterrae=null
Chitinophaga terrae=null
Friedmanniella antarctica=16982135
Citrobacter freundii=5122842
Micromonospora rosaria=null
Kribbella jejuensis=null
Natronolimnobius baerhuensis=null
Paenibacillus massiliensis=null
Methylocaldum szegediense=null
Natrinema pallidum=null
Rhizobium radiobacter=20645236
Pseudonocardia thermophila=null
Marinomonas pontica=null
Tetragenococcus halophilus=4249857
Prosthecomicrobium pneumaticum=null
Pantoea agglomerans=6336019
Actinocatenispora thailandica=null
Niastella koreensis=null
Brevundimonas alba=null
Peptostreptococcus anaerobius=3899443
S. algidipiscicola=null
Peat bog=null
Marinobacterium stanieri=6764467
Cellvibrio japonicus=5058395
Bacillus psychrotolerans=null
Marinomonas communis=null
Alkalilimnicola halodurans=null
Enterococcus faecium=140010
Thiocystis violacea=null
Nevskia ramosa=null
Porphyrobacter sanguineus=null
Ketogulonicigenium robustum=null
Alteromonas marina=4736628
Paenibacillus illinoisensis=null
Kocuria polaris=null
Rhodocyclus purpureus=16989153
Jannaschia seosinensis=null
Microtetraspora glauca=null
Dietzia natronolimnaea=18388524
Colwellia demingiae=16980894
Geobacter metallireducens=16982256
Salinispora arenicola=16992378
Phycicoccus jejuensis=null
Zymomonas mobilis=245744
Silanimonas lenta=null
Methylobacterium dichloromethanicum=null
Jonesia denitrificans=null
Salinicoccus alkaliphilus=null
Rhizobium rhizogenes=null
Magnetospirillum gryphiswaldense=14915628
Desulfonatronovibrio hydrogenovorans=16960161
Brevundimonas subvibrioides=null
Chromobacterium subtsugae=null
Formivibrio citricus=null
Tetrathiobacter kashmirensis=null
Curvibacter gracilis=16953316
Shewanella frigidimarina=16992540
Aquabacterium citratiphilum=16829816
Hymenobacter ocellatus=null
Ancylobacter aquaticus=null
Vitreoscilla stercoraria=null
Rhodothermus marinus=15842326
Sphingomonas yunnanensis=16969518
Paracoccus kondratievae=null
Paenibacillus apiarius=null
Rhodanobacter lindaniclasticus=null
Promicromonospora aerolata=null
Methylocaldum tepidum=null
Halomonas neptunia=null
Trichococcus pasteurii=null
Massilia albidiflava=6784649
Algoriphagus marincola=null
Bacillus muralis=null
Dyadobacter hamtensis=null
Paracoccus aminovorans=null
Desulfohalobium retbaense=16981294
Rubritalea marina=null
Oenococcus oeni=140473
Bacillus sporothermodurans=798286
Paenibacillus macquariensis=null
Lactobacillus delbrueckii=3246083
Schlegelella thermodepolymerans=null
Virgibacillus olivae=null
Friedmanniella spumicola=null
Kaistella koreensis=null
Pseudochrobactrum saccharolyticum=18345285
Enterobacter amnigenus=6584645
Sphingomonas aerolata=null
Luteibacter rhizovicinus=null
Bacillus oleronius=4838975
Polaribacter glomeratus=null
Kerstersia gyiorum=16983898
Rothia dentocariosa=7370477
Opitutus terrae=18357789
Sphingobium chungbukense=null
Alicycliphilus denitrificans=null
Bizionia myxarmorum=null
Laribacter hongkongensis=15224108
Bartonella henselae=140599
Brevundimonas bacteroides=null
Methylobacterium radiotolerans=3307378
Bacillus fusiformis=4838964
Rheinheimera pacifica=null
Pusillimonas noertemannii=16988898
Bacillus agaradhaerens=4838956
Aquabacterium commune=16829820
Chitinophaga japonensis=null
Paenibacillus chibensis=null
Bacteroides plebeius=null
Luteococcus japonicus=null
Alicyclobacillus acidoterrestris=null
Saccharomonospora glauca=null
Salinicoccus kunmingensis=null
Desulfosarcina variabilis=null
Rhodovulum iodosum=null
Flavobacterium xanthum=16982055
Aneurinibacillus aneurinilyticus=null
Rhizobium rubi=null
Oleiphilus messinensis=null
Faecalibacterium prausnitzii=3738296
Marinobacter sediminum=18352761
Shewanella oneidensis=4049396
Micromonospora olivasterospora=null
Paenibacillus naphthalenovorans=null
Elbe river=null
Seinonella peptonophila=null
Bacillus soli=null
Paracraurococcus ruber=null
Olivibacter sitiensis=null
Castellaniella denitrificans=null
Deinococcus radiodurans=386827
Brucella abortus=11353905
Pedobacter terricola=16987671
Paenibacillus zanthoxyli=null
Herbaspirillum rubrisubalbicans=5733347
Dyadobacter crusticola=null
Subsaximicrobium wynnwilliamsii=null
Rhodovulum imhoffii=null
Paenibacillus granivorans=null
Shewanella amazonensis=null
Herminiimonas aquatilis=16941508
Loktanella fryxellensis=null
Polaribacter franzmannii=16977949
Phocoenobacter uteri=null
Azospirillum melinis=null
Kineosporia succinea=null
Rhizobium daejeonense=null
Dysgonomonas gadei=null
Muricoccus roseus=null
Bizionia gelidisalsuginis=null
Stenotrophomonas nitritireducens=16994485
Photobacterium angustum=null
Methylobacterium aquaticum=null
Yangia pacifica=null
Dermabacter hominis=null
Jeotgalicoccus halotolerans=15820973
Bordetella holmesii=16844637
Paenibacillus forsythiae=null
Terrabacter terrae=null
Thiomicrospira pelophila=null
Williamsia maris=null
Bosea thiooxidans=18359141
Rhodobacter changlensis=null
Cohnella thermotolerans=18387616
Cupriavidus taiwanensis=16953284
Bacillus clausii=722949
Xanthomonas melonis=15614056
Scardovia wiggsiae=null
Micropruina glycogenica=null
Pseudomonas pseudoalcaligenes=16988687
Pibocella ponti=null
Riemerella anatipestifer=2152245
Fusobacterium nucleatum=5510311
Treponema clone=null
Ralstonia solanacearum=2710840
Idiomarina zobellii=null
Rhodovibrio sodomensis=null
Haloterrigena saccharevitans=null
Leeuwenhoekiella aequorea=null
Bacillus haloalkaliphilus=null
Algoriphagus vanfongensis=null
Sphingomonas echinoides=7576787
Roseivivax halotolerans=18391162
Bacillus pseudalcaliphilus=null
Chitinimonas taiwanensis=16975656
Sphingobium fuliginis=null
Bordetella avium=15882735
Paenibacillus popilliae=6858158
Roseococcus thiosulfatophilus=16992325
Shewanella sairae=null
Desulfococcus multivorans=null
Bacillus clarkii=4838961
Halomonas muralis=null
Shewanella schlegeliana=null
Methylobacterium hispanicum=null
Halococcus morrhuae=null
Roseivirga ehrenbergii=null
Shewanella violacea=16992545
Moraxella equi=16985967
Desulfatibacillum alkenivorans=null
Paenibacillus brasilensis=null
Bacteroides uniformis=null
Melissococcus plutonius=null
Epilithonimonas tenax=null
Desulfotomaculum nigrificans=3706101
Algoriphagus locisalis=null
Rhodococcus opacus=16989149
Shimia marina=null
Thiococcus pfennigii=null
Seawater clone=null
Pilimelia terevasa=null
Tetrasphaera veronensis=null
Lewinella persica=null
Shewanella waksmanii=null
Zeaxanthinibacter enoshimensis=null
Aquamicrobium defluvii=16829852
Leptotrichia oral=null
Tetragenococcus muriaticus=16993022
Paenibacillus motobuensis=null
S. luteoverticillatus=null
Aquaspirillum serpens=null
Enterobacter aerogenes=644487
Thalassobius aestuarii=null
Roseospira marina=null
Castellaniella defragrans=null
Halorhabdus utahensis=null
Erythrobacter aquimaris=null
Uncultured gammaproteobacterium=null
Methylobacterium thiocyanatum=null
Mesorhizobium septentrionale=16966094
Acaricomes phytoseiuli=4672120
